id,Created,Last Edited,Last Edited By,Question (deprecated),Question (summary),Question (description - optional),Contributors,Context layer,Question Type (deprecated),Question Type,Resource Type(s),Nested Questions,Nested Question ids,Parent Question,Parent Question id,Notes
1620139440000What sources of bias are still present in the data collection methodology?,"May 4, 2021 7:44 AM","June 10, 2021 6:44 AM",Katie Morrice,What sources of bias are still present in the data collection methodology?,What sources of bias remain in the data collection methodology?,,Katy McKinney-Bock,Methodology Cycle > Data Collection,Yes/No — long,Long Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20sources%20of%20bias%20were%20considered%20and%20mitigated%209a7a67a22d0c4ff2ac54cf6c469d10b7.md,1620139320000What sources of bias were considered and mitigated during data collection?,"I would also argue that this is foundational information, as known biases should be documented. (See parent question)"
1620260580000Is the dataset labeled or annotated? Describe.,"May 5, 2021 5:23 PM","June 10, 2021 5:57 AM",Katie Morrice,Is the dataset labeled or annotated? Describe.,Is the dataset labeled or annotated?,,Katy McKinney-Bock,Methodology Cycle > Data Collection,Yes/No — short,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/How%20is%20the%20dataset%20labeled%20or%20annotated%20b781944360804c7cb8147f9c38a5c7a6.md,1623329820000How is the dataset labeled or annotated?,,,
1620260580000Was crowdsourcing used in any step of data collection (or preprocessing)? Describe.,"May 5, 2021 5:23 PM","June 10, 2021 6:45 AM",Katie Morrice,Was crowdsourcing used in any step of data collection (or preprocessing)? Describe.,Was crowdsourcing used to support the collection of data?,,Katy McKinney-Bock,Methodology Cycle > Data Collection,Yes/No — short,Short Description,,,,,,
"1619050380000What steps were taken to preprocess, clean and organize the dataset before use or publication?  Please describe.","April 21, 2021 5:13 PM","June 10, 2021 3:48 PM",Katie Morrice,"What steps were taken to preprocess, clean and organize the dataset before use or publication?  Please describe.",What data preprocessing steps were taken prior to the dataset's use or publication?,"This describes the steps taken prior to the dataset's use or publication, including any preprocessing, cleaning, or organizing.",Katy McKinney-Bock,Methodology Cycle > Data Preprocessing,Long Answer,Long Description,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Was%20the%20dataset%20transformed%20or%20normalized%20d19081d97f14453fbc7bfe993ebf63c8.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Was%20the%20data%20aggregated%20445220d071c0408b8ad0730a528c586d.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Was%20the%20data%20smoothed%20or%20denoised%204cbe62c3a4af4345b1e8fc6be931f78f.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Was%20the%20data%20anonymized%20Describe%2060f9a36382f546c5890f3d973418eff4.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/How%20were%20outliers%20identified%20632bee790de74e0d8c1c4c0726e2875f.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Were%20outliers%20excluded%20235bd93708ac4e3dac62e8381dc3d000.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20missing%20data%20e89da1cf6b64479aba3262e761b82f97.md","1620260640000Was the dataset transformed or normalized? ,1620260700000Was the data aggregated?,1620260700000Was the data smoothed or denoised?,1620260700000Was the data anonymized? Describe.,1620260760000How were outliers identified?,1620260760000Were outliers excluded?,1620260760000Is there missing data?",,,
1619050380000Has the data preprocessing been documented by the creators of the dataset?  Please provide.,"April 21, 2021 5:13 PM","June 10, 2021 3:48 PM",Katie Morrice,Has the data preprocessing been documented by the creators of the dataset?  Please provide.,How has the data preprocessing been documented by the creators of the dataset?,"This describes how data preprocessing has been documented by the creators of the dataset. Existing documentation on data preprocessing steps should be included here. ",Katy McKinney-Bock,Methodology Cycle > Data Preprocessing,Yes/No — short,Short Description,"External Link, File",,,,,
1619051580000Was there initial analyses on this dataset before publication? Describe.,"April 21, 2021 5:33 PM","June 10, 2021 3:49 PM",Katie Morrice,Was there initial analyses on this dataset before publication? Describe.,What kinds of  analyses were conducted prior to the dataset's publication?,This describes any analyses that were conducted prior to the dataset's publication. Analyses conducted by others post-publication do not need to be described.,Katy McKinney-Bock,Methodology Cycle > Data Preprocessing,Yes/No — short,Short Description,,,,,,"This doesn't fit in ""collection"", ""preprocessing"", or ""validation"". We don't have an ""analysis"" bubble - do we need this? "
"1620260640000Was the dataset transformed or normalized? ","May 5, 2021 5:24 PM","June 10, 2021 3:48 PM",Katie Morrice,"Was the dataset transformed or normalized? ","If the data were transformed or normalized, how was this done?",,Katy McKinney-Bock,Methodology Cycle > Data Preprocessing,Yes/No — short,Short Description,,,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20steps%20were%20taken%20to%20preprocess,%20clean%20and%20org%20ec638843075340e080e9b827ce6eafb5.md","1619050380000What steps were taken to preprocess, clean and organize the dataset before use or publication?  Please describe.",
1620260700000Was the data aggregated?,"May 5, 2021 5:25 PM","June 10, 2021 6:11 AM",Katie Morrice,Was the data aggregated?,"If the data were aggregated, how was this done?",,Katy McKinney-Bock,Methodology Cycle > Data Preprocessing,Yes/No — short,Short Description,,,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20steps%20were%20taken%20to%20preprocess,%20clean%20and%20org%20ec638843075340e080e9b827ce6eafb5.md","1619050380000What steps were taken to preprocess, clean and organize the dataset before use or publication?  Please describe.",
1620260700000Was the data smoothed or denoised?,"May 5, 2021 5:25 PM","June 10, 2021 6:11 AM",Katie Morrice,Was the data smoothed or denoised?,"If the data were smoothed or denoised, how was this done?",,Katy McKinney-Bock,Methodology Cycle > Data Preprocessing,Yes/No — short,Short Description,,,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20steps%20were%20taken%20to%20preprocess,%20clean%20and%20org%20ec638843075340e080e9b827ce6eafb5.md","1619050380000What steps were taken to preprocess, clean and organize the dataset before use or publication?  Please describe.",
1620260700000Was the data anonymized? Describe.,"May 5, 2021 5:25 PM","June 10, 2021 6:07 AM",Katie Morrice,Was the data anonymized? Describe.,"If the data were anonymized, how was this done?",,Katy McKinney-Bock,Methodology Cycle > Data Preprocessing,Yes/No — short,Short Description,,,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20steps%20were%20taken%20to%20preprocess,%20clean%20and%20org%20ec638843075340e080e9b827ce6eafb5.md","1619050380000What steps were taken to preprocess, clean and organize the dataset before use or publication?  Please describe.",
1620260760000How were outliers identified?,"May 5, 2021 5:26 PM","June 10, 2021 6:07 AM",Katie Morrice,How were outliers identified?,How were outliers identified?,,Katy McKinney-Bock,Methodology Cycle > Data Preprocessing,Short Answer,Short Description,,,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20steps%20were%20taken%20to%20preprocess,%20clean%20and%20org%20ec638843075340e080e9b827ce6eafb5.md","1619050380000What steps were taken to preprocess, clean and organize the dataset before use or publication?  Please describe.",
1620260760000Were outliers excluded?,"May 5, 2021 5:26 PM","June 10, 2021 6:08 AM",Katie Morrice,Were outliers excluded?,Were outliers excluded?,,Katy McKinney-Bock,Methodology Cycle > Data Preprocessing,Yes/No — short,Yes/No,,,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20steps%20were%20taken%20to%20preprocess,%20clean%20and%20org%20ec638843075340e080e9b827ce6eafb5.md","1619050380000What steps were taken to preprocess, clean and organize the dataset before use or publication?  Please describe.",
1620260760000Is there missing data?,"May 5, 2021 5:26 PM","June 10, 2021 6:09 AM",Katie Morrice,Is there missing data?,What data are missing?,,Katy McKinney-Bock,Methodology Cycle > Data Preprocessing,Yes/No — short,Short Description,,,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20steps%20were%20taken%20to%20preprocess,%20clean%20and%20org%20ec638843075340e080e9b827ce6eafb5.md","1619050380000What steps were taken to preprocess, clean and organize the dataset before use or publication?  Please describe.",
"1619050440000What processes were in place to validate data before publication? ","April 21, 2021 5:14 PM","June 9, 2021 7:47 PM",Riya Swayampati,"What processes were in place to validate data before publication? ","What processes were in place to validate data before publication? ",A list and brief description of all of the processes in place to validate the data before publication.,"Katy McKinney-Bock, Riya Swayampati",Methodology Cycle > Data Validation,Long Answer,Long Description,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/How%20was%20file%20structure%20and%20format%20validated%20b2ffaf18d3a3422ab4224e4f4d59a343.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/How%20were%20data%20records%20validated%202c44717ff3f34a61841c4cc245ee2c90.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/How%20was%20consistency%20between%20datasets%20consisting%20of%200615f10376f445958f52bd8d673bf3a2.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/How%20was%20the%20dataset%20validated%20for%20consistency%20with%202d38157b17e74020b48e7b9ab6cae1af.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/How%20were%20data%20records%20identified%20for%20review%20bda1f87e6d244b96a4fcff87d9a37333.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20types%20of%20validation%20were%20implemented%20d707230da7bf43168b18f70a3e8e8cc4.md","1620655140000How was file structure and format validated?,1620655140000How were data records validated?,1620655200000How was consistency between datasets consisting of multiple files for a given dataset validated?,1620655260000How was the dataset validated for consistency with other datasets of the same ""kind"" from other/external sources?,1620654960000How were data records identified for review?,1620654780000What types of validation were implemented?",,,
1620654780000What types of validation were implemented?,"May 10, 2021 6:53 AM","June 9, 2021 8:33 PM",Riya Swayampati,What types of validation were implemented?,What types of validation were implemented?,A brief description of the types of validation that were implemented on the data,"Katy McKinney-Bock, Riya Swayampati",Methodology Cycle > Data Validation,Short Answer,Short Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20processes%20were%20in%20place%20to%20validate%20data%20befo%2026b19372f8a5474a9db510e51d8b32b3.md,"1619050440000What processes were in place to validate data before publication? ","This reference was useful for developing nested questions:
https://ec.europa.eu/eurostat/cros/system/files/methodology_for_data_validation_v1.0_rev-2016-06_final.pdf. Essnet Validat Foundation."
1620654960000How were data records identified for review?,"May 10, 2021 6:56 AM","June 9, 2021 7:06 PM",Riya Swayampati,How were data records identified for review?,How were data records identified for review?,,Katy McKinney-Bock,Methodology Cycle > Data Validation,Short Answer,Short Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20processes%20were%20in%20place%20to%20validate%20data%20befo%2026b19372f8a5474a9db510e51d8b32b3.md,"1619050440000What processes were in place to validate data before publication? ","This reference was useful for developing nested questions:
https://ec.europa.eu/eurostat/cros/system/files/methodology_for_data_validation_v1.0_rev-2016-06_final.pdf. Essnet Validat Foundation."
1620655140000How was file structure and format validated?,"May 10, 2021 6:59 AM","June 9, 2021 7:06 PM",Riya Swayampati,How was file structure and format validated?,How was file structure and format validated?,,Katy McKinney-Bock,Methodology Cycle > Data Validation,Short Answer,Short Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20processes%20were%20in%20place%20to%20validate%20data%20befo%2026b19372f8a5474a9db510e51d8b32b3.md,"1619050440000What processes were in place to validate data before publication? ","This reference was useful for developing nested questions:
https://ec.europa.eu/eurostat/cros/system/files/methodology_for_data_validation_v1.0_rev-2016-06_final.pdf. Essnet Validat Foundation."
1620655140000How were data records validated?,"May 10, 2021 6:59 AM","June 9, 2021 7:38 PM",Riya Swayampati,How were data records validated?,How were data records validated?,,Katy McKinney-Bock,Methodology Cycle > Data Validation,Short Answer,Short Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20processes%20were%20in%20place%20to%20validate%20data%20befo%2026b19372f8a5474a9db510e51d8b32b3.md,"1619050440000What processes were in place to validate data before publication? ","This reference was useful for developing nested questions:
https://ec.europa.eu/eurostat/cros/system/files/methodology_for_data_validation_v1.0_rev-2016-06_final.pdf. Essnet Validat Foundation."
1620655200000How was consistency between datasets consisting of multiple files for a given dataset validated?,"May 10, 2021 7:00 AM","June 9, 2021 7:38 PM",Riya Swayampati,How was consistency between datasets consisting of multiple files for a given dataset validated?,How was consistency between datasets consisting of multiple files for a given dataset validated?,,Katy McKinney-Bock,Methodology Cycle > Data Validation,Short Answer,Short Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20processes%20were%20in%20place%20to%20validate%20data%20befo%2026b19372f8a5474a9db510e51d8b32b3.md,"1619050440000What processes were in place to validate data before publication? ","This reference was useful for developing nested questions:
https://ec.europa.eu/eurostat/cros/system/files/methodology_for_data_validation_v1.0_rev-2016-06_final.pdf. Essnet Validat Foundation."
"1620655260000How was the dataset validated for consistency with other datasets of the same ""kind"" from other/external sources?","May 10, 2021 7:01 AM","June 9, 2021 7:38 PM",Riya Swayampati,"How was the dataset validated for consistency with other datasets of the same ""kind"" from other/external sources?","How was the dataset validated for consistency with other datasets of the same ""kind"" from other/external sources?",,Katy McKinney-Bock,Methodology Cycle > Data Validation,Short Answer,Short Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20processes%20were%20in%20place%20to%20validate%20data%20befo%2026b19372f8a5474a9db510e51d8b32b3.md,"1619050440000What processes were in place to validate data before publication? ","This reference was useful for developing nested questions:
https://ec.europa.eu/eurostat/cros/system/files/methodology_for_data_validation_v1.0_rev-2016-06_final.pdf. Essnet Validat Foundation."
1620261060000What quality assurance (QA) indicators or processes were implemented?,"May 5, 2021 5:31 PM","June 9, 2021 7:46 PM",Riya Swayampati,What quality assurance (QA) indicators or processes were implemented?,What quality assurance (QA) indicators or processes were implemented?,A list of all the indicators or processes implemented during quality assurance along with a brief description for each one,"Katy McKinney-Bock, Riya Swayampati",Methodology Cycle > Data Validation,Long Answer,Short Description (List),,,,,,"Note: data validation questions need more work for V1.

What parts of quality assurance planning are important to document in the data lifecycle, and which for governance?"
"1620261120000What quality control (QC) processes and software testing were implemented? ","May 5, 2021 5:32 PM","June 9, 2021 7:46 PM",Riya Swayampati,"What quality control (QC) processes and software testing were implemented? ","What quality control (QC) processes and software testing were implemented? ",A list of all the processes and software testing implemented during quality control along with a brief description for each one,"Katy McKinney-Bock, Riya Swayampati",Methodology Cycle > Data Validation,Long Answer,Short Description (List),,,,,,
"1619050440000Has the data validation been documented by the creators of the dataset? ","April 21, 2021 5:14 PM","June 11, 2021 8:55 AM",Riya Swayampati,"Has the data validation been documented by the creators of the dataset? ","Has the data validation been documented by the creators of the dataset? ","This is a yes/no question regarding the existence of data validation documentation by the creators of the dataset. If yes, there is a nested question to attach the documentation. ","Katy McKinney-Bock, Riya Swayampati",Methodology Cycle > Data Validation,Yes/No — short,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20provide%20the%20documentation%20a37c245df8fb43768659b674ecb4a890.md,1623291000000 Please provide the documentation.,,,
1623291000000 Please provide the documentation.,"June 9, 2021 7:10 PM","June 9, 2021 7:46 PM",Riya Swayampati," Please provide the documentation.",What is the available documentation associated with the data validation of the dataset?,All the available documentation or a link to the documentation associated with the data validation process to be attached to this question,Riya Swayampati,Methodology Cycle > Data Validation,,Resource (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Has%20the%20data%20validation%20been%20documented%20by%20the%20cre%20274a4305bdbc4c0ba9221539c23a0d94.md,"1619050440000Has the data validation been documented by the creators of the dataset? ","reword to sound better than ""what"" - Riya"
1619051400000Are there known data quality issues?,"April 21, 2021 5:30 PM","June 9, 2021 7:39 PM",Riya Swayampati,Are there known data quality issues?,Are there any known data quality issues with the dataset?,,Katy McKinney-Bock,Methodology Cycle > Data Validation,Yes/No — short,Yes/No,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20data%20quality%20issues%20were%20repaired%2044bcea35efa94311bd7107610805c151.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20data%20quality%20issues%20persist%20b16c0931c043488ca559f34bfdb83c42.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20are%20the%20known%20data%20quality%20issues%20e0b8fb9c94574e8881f3bb98795a76f0.md","1620261180000What data quality issues were repaired?,1620261180000What data quality issues persist?,1623291360000What are the known data quality issues?",,,"Ported this question, but I think it needs a little more work on specificity."
1623291360000What are the known data quality issues?,"June 9, 2021 7:16 PM","June 9, 2021 7:46 PM",Riya Swayampati,What are the known data quality issues?,"What are the known data quality issues? ","A list of all the known data quality issues along with a brief description detailing what they are, and how they affected the dataset",Riya Swayampati,Methodology Cycle > Data Validation,,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Are%20there%20known%20data%20quality%20issues%20e0e2bf0e52cb40daac8b9dc63840c594.md,1619051400000Are there known data quality issues?,
1620261180000What data quality issues were repaired?,"May 5, 2021 5:33 PM","June 9, 2021 7:46 PM",Riya Swayampati,What data quality issues were repaired?,What data quality issues were repaired?,A list of the issues that were repaired from the known data quality issues and a brief description of how.,"Katy McKinney-Bock, Riya Swayampati",Methodology Cycle > Data Validation,Short Answer,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Are%20there%20known%20data%20quality%20issues%20e0e2bf0e52cb40daac8b9dc63840c594.md,1619051400000Are there known data quality issues?,
1620261180000What data quality issues persist?,"May 5, 2021 5:33 PM","June 9, 2021 7:45 PM",Riya Swayampati,What data quality issues persist?,What data quality issues persist?,A list of the issues that remain in the dataset from the list of known data quality issues a well as a brief description of why they persist.,"Katy McKinney-Bock, Riya Swayampati",Methodology Cycle > Data Validation,Short Answer,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Are%20there%20known%20data%20quality%20issues%20e0e2bf0e52cb40daac8b9dc63840c594.md,1619051400000Are there known data quality issues?,
1620654960000Were validation methods automated or manual?,"May 10, 2021 6:56 AM","June 15, 2021 7:44 AM",Katy McKinney-Bock,Were validation methods automated or manual?,Were the validation methods automated or manual?,"Select the most appropriate option (automated, manual or both) for the question. There is a possibility that  there might be multiple validation methods which could be a combination of automated and manual methods. It is important to document this, which is why there is an option to select multiple choices","Katy McKinney-Bock, Riya Swayampati",Methodology Cycle > Data Validation,Short Answer,Select (List),,,,,,@Katy McKinney-Bock Please let me know if the description for this seems out of place or wrong @Riya Swayampati - I'll put an answer in the comments
"1620261300000Was any collected information excluded from the published dataset?  ","May 5, 2021 5:35 PM","June 15, 2021 7:08 AM",Katy McKinney-Bock,"Was any collected information excluded from the published dataset?  ","Was any collected information excluded from the published dataset?  ","A yes/no question for any information (eg, variables, observations, etc) that was collected but not included in the published dataset. If yes, follow up with brief description of the excluded information in the nested question","Katy McKinney-Bock, Riya Swayampati",Methodology Cycle > Data Preservation,,Yes/No,,,,,,
1623292980000Please describe.,"June 9, 2021 7:43 PM","June 9, 2021 8:34 PM",Riya Swayampati,Please describe.,What information is missing from the published dataset?,"A brief description of the excluded information and the reason it was excluded ",Riya Swayampati,Methodology Cycle > Data Preservation,,Short Description (List),,,,,,
1620261360000What are the steps taken to remove or delete data?,"May 5, 2021 5:36 PM","June 9, 2021 7:54 PM",Riya Swayampati,What are the steps taken to remove or delete data?,What are the steps taken to remove or delete data?,A list of steps taken to remove or delete data,Katy McKinney-Bock,Methodology Cycle > Data Preservation,,Short Description (List),,,,,,Inspired by/included in Deon: https://deon.drivendata.org/examples/
1620261360000What processes are in place for human subjects/participants/other people to request removal of data?,"May 5, 2021 5:36 PM","June 9, 2021 7:59 PM",Riya Swayampati,What processes are in place for human subjects/participants/other people to request removal of data?,What processes are in place for people (participants and non-participants) to request removal of data?,"A description of the available processes for people to request removal of data. Since the processes might be different for different types of people, for eg human subjects, participants, and other people - provide descriptions for all groups available","Katy McKinney-Bock, Riya Swayampati",Methodology Cycle > Data Preservation,,Long Description,,,,,,Inspired by/included in Deon: https://deon.drivendata.org/examples/
1620261360000When is the dataset considered archival or no longer in use?,"May 5, 2021 5:36 PM","June 9, 2021 8:12 PM",Riya Swayampati,When is the dataset considered archival or no longer in use?,When is the dataset considered archival or no longer in use?,,Katy McKinney-Bock,Methodology Cycle > Data Preservation,,Short Description,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20this%20dataset%20part%20of%20an%20active%20project%20or%20progr%20bb602dfe40f7401bb5535adcfd82a9b4.md,1620656700000Is this dataset part of an active project or program?,,,Inspired by/included in Deon: https://deon.drivendata.org/examples/
1620656700000Is this dataset part of an active project or program?,"May 10, 2021 7:25 AM","June 9, 2021 8:12 PM",Riya Swayampati,Is this dataset part of an active project or program?,Is this dataset part of an active project or program?,,Katy McKinney-Bock,Methodology Cycle > Data Preservation,,Yes/No,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/When%20is%20the%20dataset%20considered%20archival%20or%20no%20long%2036b38ad52c1e40ea9e414be275038e99.md,1620261360000When is the dataset considered archival or no longer in use?,
"1620261540000Document any errors, corrections, and omissions made to the dataset at any stage of the data lifecycle.","May 5, 2021 5:39 PM","June 15, 2021 7:03 AM",Katy McKinney-Bock,"Document any errors, corrections, and omissions made to the dataset at any stage of the data lifecycle.","Were any errors, omissions, or other corrections made to the dataset?","Select options: [errors, omissions, other corrections, none]",Katy McKinney-Bock,Data Preservation > Corrections,,Select (List),,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20errors%20were%20found,%20and%20what%20corrections%20were%20%20c02f3f19f3c645af9e784539e7535d65.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20omissions%20were%20found,%20and%20what%20corrections%20we%209e86eff3339c4ee1a26480f3dd69399f.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Were%20there%20other%20corrections%20made%20to%20the%20dataset%204ed0a9f135fb4819bcea15c56ade84f4.md","1623764880000What errors were found, and what corrections were made?,1623765240000What omissions were found, and what corrections were made?,1623765420000Were there other corrections made to the dataset?",,,This is a draft; too general at present
"1623764880000What errors were found, and what corrections were made?","June 15, 2021 6:48 AM","July 5, 2021 9:45 AM",Jaron Heard ✨,"What errors were found, and what corrections were made?","What errors were found, and what corrections were made?","A description of any errors that were found in the dataset at any point in the data lifecycle, and whether the error was corrected, including details of steps taken.",Katy McKinney-Bock,Data Preservation > Corrections,,Short Description (List),,,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Document%20any%20errors,%20corrections,%20and%20omissions%20ma%20305215bad6b741c990b8644b8b20a00d.md","1620261540000Document any errors, corrections, and omissions made to the dataset at any stage of the data lifecycle.",
1620261720000What preservation/maintenance processes are in place for this dataset from creation to present?,"May 5, 2021 5:42 PM","June 15, 2021 7:23 AM",Katy McKinney-Bock,What preservation/maintenance processes are in place for this dataset from creation to present?,What preservation/maintenance processes are in place for this dataset?,A description of data preservation and maintenance processes that are in place for the dataset throughout the data lifecycle.,Katy McKinney-Bock,Methodology Cycle > Data Preservation,,Long Description,,,,,,"todo: this question is very general; it could be more structured in future versions.

All of the ""maintenance"" questions are drafts; this section is still underdeveloped/not yet as comprehensive as it should be."
"1620261780000What processes are in place to change file format or naming conventions? ","May 5, 2021 5:43 PM","June 15, 2021 7:06 AM",Katy McKinney-Bock,"What processes are in place to change file format or naming conventions? ","What processes are in place to change file format or naming conventions? ","A description of what processes are in place to change file format or naming conventions, and how data is preserved under these processes.",Katy McKinney-Bock,Data Preservation > Software/Hardware Maintenance,,Short Description (List),,,,,,"All of the ""maintenance"" questions are drafts; this section is still underdeveloped/not yet as comprehensive as it should be."
1620261660000Are there version-controlled digital assets?,"May 5, 2021 5:41 PM","June 15, 2021 7:18 AM",Katy McKinney-Bock,Are there version-controlled digital assets?,Are there version-controlled digital assets?,"An external link to version-controlled digital assets, if public, which shows a history of major versions of the assets. Alternately, a file may be provided that describes a history or description of major versions of digital assets",Katy McKinney-Bock,Data Preservation > Software/Hardware Maintenance,,Resource,"External Link, File",,,,,"All of the ""maintenance"" questions are drafts; this section is still underdeveloped/not yet as comprehensive as it should be."
1620261720000Is there version-controlled digital documentation?,"May 5, 2021 5:42 PM","June 15, 2021 7:18 AM",Katy McKinney-Bock,Is there version-controlled digital documentation?,Is there version-controlled digital documentation?,"An external link to version-controlled digital documentation, which shows a history of major versions of the documentation for the dataset. Alternately, a file may be provided with current documentation, that describes a history or description of major versions.",Katy McKinney-Bock,Data Preservation > Software/Hardware Maintenance,,Resource,"External Link, File",,,,,"All of the ""maintenance"" questions are drafts; this section is still underdeveloped/not yet as comprehensive as it should be."
"1620261780000How has hardware and data storage changed over time? ","May 5, 2021 5:43 PM","June 15, 2021 7:11 AM",Katy McKinney-Bock,"How has hardware and data storage changed over time? ","How has hardware and data storage changed over time? ","A list containing basic information about how data storage has changed over time. A resource may be provided in the description, if available.",Katy McKinney-Bock,Data Preservation > Software/Hardware Maintenance,,Short Description (List),,,,,,"All of the ""maintenance"" questions are drafts; this section is still underdeveloped/not yet as comprehensive as it should be."
